,Acetanaerobacterium,Acetivibrio,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Allisonella,Allobaculum,Anaerococcus,Anaerofilum,Anaeroplasma,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Atopobium,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Bulleidia,Butyricicoccus,Butyricimonas,Butyrivibrio,Caldimonas,Caloramator,Campylobacter,Catenibacterium,Citrobacter,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Coraliomargarita,Corynebacterium,Cronobacter,Denitrobacterium,Desulfotomaculum,Desulfovibrio,Dialister,Dietzia,Dorea,Eggerthella,Elusimicrobium,Enterobacter,Enterococcus,Enterorhabdus,Erysipelothrix,EscherichiaShigella,Ethanoligenens,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gemmiger,Gordonibacter,Gracilibacter,Granulicatella,Haemophilus,Hespellia,Holdemania,Howardella,Hydrogenoanaerobacterium,Klebsiella,Lachnobacterium,Lactobacillus,Lactococcus,Lactonifactor,Lutispora,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Mitsuokella,Mobiluncus,Mogibacterium,Moryella,Murdochiella,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oxalobacter,Papillibacter,Parabacteroides,Paraprevotella,Parasporobacterium,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharofermentans,Selenomonas,Slackia,Sneathia,Solobacterium,Spiroplasma,Sporobacter,Staphylococcus,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,TM7_genera_incertae_sedis,Tepidimicrobium,Treponema,Turicibacter,Unassigned,Vampirovibrio,Veillonella,Victivallis,Weissella
4EP39,24,0,378,0,2,0,0,21,19,27,0,1,0,229,0,3,0,0,151,32,21,44,29,0,16,24,0,0,0,0,268,0,6,16,1,0,224,48,6,62,0,34,0,0,0,2,0,118,0,0,32,0,0,0,0,5,1,1,0,447,499,0,25,0,0,20,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,1,0,0,448,0,1,0,0,10,45,25,448,1,2,39,18,6,0,0,0,0,0,1665,0,8264,0,7,1,2,245,0,103,0,0,5,0,0,0,34,0,9,14,4341,151,0,0,0,0,1258,0,3,1,0
4EP4,56,0,1385,0,0,0,1,160,0,86,0,0,0,18,5,7,2,0,4277,194,39,125,127,14,72,71,0,0,0,2,600,0,80,5,3,6,1102,77,1,232,0,175,0,0,0,2,0,255,704,0,145,0,0,0,0,11,0,6,0,49,1447,0,71,0,0,269,0,0,1,0,22,2,2,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,31,36,0,1105,0,4,298,49,11,0,0,0,0,0,382,0,3309,55,6,4,0,426,0,396,0,0,2,0,0,121,32,0,120,22,130,506,1,0,0,0,638,0,0,0,0
4EP40,119,0,235,0,19,0,639,4,12,137,0,4,0,78,31,67,15,0,230,86,0,39,254,106,25,94,0,0,8,24,144,0,158,46,10,0,1028,77,135,75,0,159,5,0,0,10,0,157,412,0,236,0,0,0,0,43,0,1,0,332,833,0,31,34,0,40,0,22,0,1,2,35,0,0,0,1,0,0,0,3,1,0,225,2,0,287,0,1,0,0,85,165,130,1477,8,27,47,17,24,0,11,4,0,2,776,1,1941,18,16,4,15,89,0,359,0,72,8,39,0,173,277,0,2,13,3288,0,0,0,0,0,2773,0,2,3,0
4EP41,0,0,296,0,7,0,1,4,45,35,1,0,0,8,3,0,0,0,1588,2,16,12,306,0,12,0,1,0,0,1,246,0,45,0,8,0,491,2,23,183,0,33,0,0,0,0,0,134,1178,2,29,0,0,0,0,8,0,44,0,56,1495,1,10,0,0,277,0,0,2,4,1,0,4,0,0,0,0,0,0,1,0,0,1074,0,0,1331,0,1,0,0,7,90,0,9,0,0,72,69,1,20,2,0,6,1,1,12,8477,0,1,3,1,1975,0,18,0,0,8,0,0,0,1,0,26,4,2,77,6,0,0,0,69,0,1,0,0
4EP42,109,0,209,0,4,0,113,85,7,35,0,0,0,93,12,10,18,0,1992,295,77,44,103,0,25,315,0,0,2,1,0,0,338,21,2,54,1160,172,107,14,0,466,0,0,0,0,0,137,302,0,31,0,0,0,0,23,0,2,0,430,1126,0,13,1,5,136,0,4,7,7,43,7,0,0,0,10,44,0,0,7,2,0,1,1,1,383,0,5,2,0,74,0,0,1146,9,29,147,0,36,55,0,0,0,0,229,0,2366,1,13,8,5,382,5,622,0,0,8,0,0,20,392,0,810,40,2,0,0,0,0,0,2849,0,167,26,0
4EP43,23,0,0,0,8,0,59,310,6,0,0,2,0,42,16,20,20,0,2143,181,422,92,239,0,36,111,0,0,10,0,1,0,390,13,0,67,3193,280,116,114,0,261,0,0,3,16,0,6,0,1,143,0,0,0,0,0,0,1943,0,77,893,0,81,0,0,582,4,11,0,1,27,4,21,3,0,4,0,0,0,57,1,0,0,10,0,0,0,0,0,0,32,21,1,761,6,58,148,117,33,8,0,0,0,0,772,0,289,5,20,4,8,792,0,1176,0,0,0,0,0,67,93,0,178,37,0,146,0,0,0,0,2900,0,1,49,0
4EP45,9,0,0,0,4,0,91,434,0,71,7,1,0,155,48,12,28,0,1287,169,48,8,87,48,18,52,0,0,5,0,633,0,959,138,9,24,3148,214,623,1,2,132,20,3,0,14,0,218,909,0,78,0,0,0,0,19,0,70,1,392,1568,14,28,0,1,160,0,5,0,4,12,171,7,0,0,34,0,0,0,20,5,18,0,0,0,0,0,1,0,0,22,0,0,1200,10,78,133,0,32,378,1,2,10,0,0,0,332,9,21,0,758,360,0,703,0,0,70,0,4,287,650,0,86,39,0,0,0,0,0,0,2065,157,7,50,0
4EP46,19,0,1,0,0,0,102,484,0,2,0,2,0,792,40,10,0,0,1823,348,0,64,125,0,27,92,0,0,2,0,0,0,144,5,1,113,4228,113,95,74,0,68,0,0,0,6,0,23,338,0,81,0,0,0,0,9,0,1,1,110,1519,0,39,0,0,61,0,3,0,0,1,1,0,0,0,4,0,0,1,8,0,72,0,0,0,0,0,0,0,0,101,1,1,1172,0,11,290,313,8,37,0,0,0,0,0,0,3908,0,8,3,0,954,1,468,0,0,0,0,0,0,217,0,6,32,1,0,1,0,0,0,953,12,6,85,0
4EP50,19,0,2,0,2,0,4,243,0,140,0,1,0,205,6,1,11,0,3447,228,367,21,180,0,70,147,0,0,1,0,0,0,352,30,42,80,1939,25,67,47,0,186,0,0,1,3,0,86,1,0,32,0,0,0,0,3,401,1,0,46,3566,0,37,0,1,96,0,4,0,5,254,7,10,1,0,4,8,1,0,4,2,0,0,2,0,0,0,2,0,0,87,3,1,617,1,9,144,177,20,40,0,0,0,0,480,1,511,0,13,5,5,657,3,429,0,0,13,0,2,41,228,0,12,29,0,385,6,0,0,1,2615,710,56,1,0
4EP51,43,0,0,0,0,0,568,566,0,1,1,0,0,13,7,21,20,0,4714,134,118,123,135,0,5,47,0,0,10,0,505,0,411,13,3,39,718,383,1307,9,9,216,0,1,0,2,0,26,4,0,88,0,0,0,0,64,0,183,2,200,610,1,41,0,1,20,1,25,0,1,9,6,40,1,0,17,0,0,3,2,3,0,0,49,0,0,0,4,0,0,23,7,0,1576,0,91,247,0,102,114,1,0,1,0,1042,3,13,27,22,1,22,933,0,1142,0,0,0,0,0,0,764,0,15,55,1,1,0,0,0,0,1578,1,0,112,0
