"","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Denitrobacterium","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Enterobacter","Enterococcus","Enterorhabdus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Flavonifractor","Fusobacterium","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Murdochiella","Mycoplasma","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Pantoea","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Selenomonas","Shewanella","Slackia","Sneathia","Solobacterium","Sphingomonas","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tindallia","Tissierella","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Veillonella","Victivallis","Weissella","Zimmermannella"
"CNTRLP3",7,0,0,63,0,56,20,0,129,0,0,0,10,43,0,19,6,379,20,3594,7,685,0,0,23,0,0,12,0,367,10,459,24,855,10,746,0,120,263,0,0,213,115,8,8,8,0,403,0,207,7,6,35,3,0,6,105,21,237,677,0,0,0,0,0,9,79,7,24,1409,0,15,0,23,4,0,15,0,4,5,23,0,4,0,19,12,0,0,40,0,9,0,0,0,0,0,0,0,0,0,67,0,121,0,0,35,17,0,0,0,0,577,0,0,0,1696,0,0,41,17,31,0,0,12,2343,0,1522,0,5,0,10,26,0,0,0,0,13,7,0,32,0,57,0,4,183,0,0,127,1332,0,0,26,0,0,0
"CNTRLP4",16,0,0,0,0,356,81,0,60,0,7,0,0,41,0,205,0,460,109,63,86,108,0,0,55,5,0,30,0,55,14,606,9,35,12,209,79,94,25,0,0,83,475,6,3,48,0,698,0,46,3,18,11,7,0,4,1557,5,119,1078,0,0,29,0,0,0,177,0,2,2384,0,17,3,8,12,6,11,3,69,3,0,4,0,0,73,5,0,0,356,0,0,0,0,0,0,0,0,0,0,7,0,4,1691,3,0,55,0,0,0,0,0,0,0,90,0,294,0,343,30,57,0,7,0,24,508,0,307,886,0,0,5,11,0,0,0,2,295,145,0,51,0,0,37,7,115,5,10,6,4300,486,0,0,0,0,0
"CNTRLP5",0,85,0,76,0,41,63,0,0,90,6,0,80,103,5,44,9,2810,84,870,9,648,0,0,24,0,0,60,0,5,0,12,17,168,534,3145,58,18,19,0,4,637,0,0,0,2,0,829,0,106,40,0,73,0,0,0,21,3,104,1075,0,0,12,0,0,24,360,0,19,0,164,0,0,0,16,3,3,3,0,0,87,2,2,16,85,0,0,0,0,3,0,0,0,5,0,0,0,0,0,31,0,3,162,0,0,18,0,10,19,0,0,78,0,177,0,152,0,0,146,0,0,0,0,2,2308,14,1181,0,0,0,0,0,0,8,0,0,14,7,0,1651,13,0,0,3,0,0,0,12,1012,0,0,185,0,0,0
"CNTRLP6",23,0,0,11,10,2832,86,0,29,0,49,19,19,166,5,77,39,788,90,327,0,995,0,0,19,62,0,140,0,226,6,362,80,136,87,702,0,344,317,0,0,493,78,3,62,0,0,130,34,383,12,0,10,96,0,0,157,7,667,843,0,0,25,0,0,0,285,4,11,120,12,0,8,216,30,3,6,11,5,0,10,12,6,4,3,18,0,0,460,12,0,4,0,59,0,0,0,0,0,0,1188,4,130,0,0,123,0,21,0,0,0,0,0,30,0,639,17,0,64,9,5,0,0,14,2380,0,666,0,0,0,72,62,0,7,8,0,33,8,0,49,0,0,16,3,120,0,0,11,1893,0,0,0,0,0,0
"CNTRLP7",3,0,10,60,3,17,27,0,70,44,56,12,5,88,11,114,10,416,0,50,3,162,0,0,11,3,0,79,0,397,4,232,40,646,37,395,15,128,32,0,0,115,73,2,15,26,0,40,0,165,0,5,27,37,0,0,35,4,311,726,0,0,3,0,0,0,323,12,0,4575,0,8,8,678,11,6,0,0,2,3,3,9,4,0,13,0,0,0,463,23,11,0,35,17,0,0,0,0,0,0,0,0,1401,0,4,9,0,3,0,0,22,0,81,281,56,326,11,2,9,48,7,0,0,17,262,0,3274,370,0,0,177,13,0,35,11,0,169,6,0,71,4,0,24,0,0,10,0,7,1910,0,0,6,0,3,0
"HIV10",0,0,31,46,14,41,0,0,1250,0,0,0,0,16,0,369,0,14,0,1720,0,451,0,0,36,0,0,0,0,16,9,14,24,0,394,106,34,9,74,0,0,289,136,0,10,4,0,0,24,598,5,0,27,500,0,0,33,0,8689,36,0,349,0,0,0,0,36,0,17,11,0,0,0,0,17,0,0,0,0,0,21,7,29,0,0,0,0,0,726,4,0,0,61,138,0,126,0,0,0,0,113,0,202,0,0,11,0,0,0,0,0,329,0,27,0,754,8,0,13,8,0,0,0,5,21,0,60,0,0,0,0,73,0,0,0,0,15,0,0,40,0,66,79,0,0,0,0,0,1590,0,0,0,0,0,0
"HIV12",0,0,42,94,3,9,0,0,6,0,0,0,0,0,7,0,14,3627,0,6,0,96,0,0,0,0,0,0,0,0,8,19,0,47,919,1106,0,8,4,0,0,13,48,77,0,0,0,0,0,56,0,96,11,0,147,0,1770,0,6,36,0,0,0,0,0,12,8,0,0,7,73,0,2,13,137,0,41,1089,15,0,24,0,200,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,6,0,8,22,6,7,0,3,0,21,0,0,0,0,0,410,0,6,6,0,10,0,0,13,25,126,108,0,204,0,9,0,0,0,0,0,0,0,7,215,0,0,0,16,0,0,0,3,7726,0,0,1102,0,0,0
"HIV13",7,0,0,124,4,0,6,0,1080,0,0,0,0,24,0,0,0,49,0,1368,0,2084,0,0,0,0,0,0,0,33,5,37,4,6,1709,469,0,8,80,10,0,46,63,0,9,0,0,0,0,2191,5,0,20,29,0,0,33,0,5103,99,0,0,0,116,0,9,91,0,10,35,0,0,0,13,74,5,16,13,0,6,12,6,17,0,7,8,0,0,37,0,10,0,0,15,0,0,0,0,0,0,10,0,124,0,0,10,0,5,0,0,0,0,0,0,0,898,7,6,44,0,0,0,0,41,672,14,173,0,0,0,3,19,0,0,0,0,6,0,0,59,0,27,72,0,0,0,0,0,2571,0,0,21,0,0,0
"HIV16",0,0,0,4,0,0,0,0,0,0,0,0,0,71,16,0,0,902,0,0,0,608,0,0,0,0,0,0,0,0,3232,115,6,78,67,967,0,57,0,0,30,62,0,149,0,0,0,0,0,7,0,157,55,0,16,0,1537,0,0,27,0,0,469,0,0,0,1580,0,0,0,42,0,1913,0,15,0,0,527,1319,0,1145,3,0,25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,8,0,0,0,0,0,0,0,0,0,262,0,10,6,6,0,0,0,0,570,15,907,0,148,0,0,0,0,0,0,0,0,11,0,937,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0
"HIV17",4,0,7,1,0,1,10,1,17,30,1,1,12,7,0,10,0,120,3,1,0,116,0,0,30,0,0,14,172,113,1,14,2,32,3,232,7,3,14,0,0,341,0,0,1,0,15,224,3,40,0,0,1,5,0,0,38,0,30,2793,0,0,6,0,0,1,48,0,0,29,2,0,0,0,3,0,4,0,0,0,120,0,0,0,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,3,469,0,0,0,0,7,0,251,0,19,17,50,0,13878,1,0,1,7,1,0,0,2,114,0,34,6,0,0,0,1,57,13,0,0,3,5,0,4,0,0,5,0,0,1,0,1,327,2,0,0,0,0,0
