cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.03,59,512,2,48,relu,halve,0.3,100,0.0006108481768099345,0.5658333897590637,0.009192224827156774,8,0.8275193798449613,0.03424644744467614,3.447249705161804e-06,0.5106266295843647,leaf,0.525460728995329,batchnorm
0.03,60,768,3,51,relu,halve,0.3,150,0.0006214187537036309,0.5851796865463257,0.016601473965222664,13,0.5242248062015504,0.010262198145779427,3.69113249225573e-06,0.5027937797443806,leaf,0.5164348914694051,batchnorm
0.03,61,768,3,49,relu,halve,0.3,150,0.0006441458702334782,0.4702560007572174,0.05480897461119992,8,0.812015503875969,0.0402692626246738,3.903764487203485e-06,0.5005256526373503,leaf,0.5143498077348473,batchnorm
0.03,62,768,3,51,relu,halve,0.3,150,0.0008043939118757319,0.5878754258155823,0.0829441726883914,6,0.9234496124031008,0.04745892076186002,3.5410411679705503e-06,0.5022517831321514,leaf,0.45028333100524276,batchnorm
0.03,63,768,3,48,relu,halve,0.3,150,0.00063264612617601,0.5310598015785217,0.2145277937364494,4,0.9496124031007752,0.09044382937813003,9.654877584912712e-06,0.6378359718379868,leaf,0.5140489195419726,batchnorm
0.03,65,768,3,41,relu,halve,0.1,150,0.0003928187778081286,0.4530904293060303,0.005424788994316539,14,0.8401162790697675,0.03258558559798593,9.601397104138433e-06,0.5045200837790729,leaf,0.5393377721228448,batchnorm
0.03,66,768,3,40,relu,halve,0.1,150,0.0003953299183058374,0.5689597725868225,0.12337462200272535,3,0.9263565891472868,0.10134320959071604,1.4816858876225583e-05,0.5538117269415896,leaf,0.5430926150059951,batchnorm
0.03,67,768,3,37,relu,halve,0.1,150,0.0002850622502002028,0.40271925926208496,0.09847049488476103,10,0.7034883720930233,0.01174378412977832,7.577942795400199e-06,0.6335522514461316,leaf,0.5684982285667997,batchnorm
0.03,68,768,3,46,gelu,halve,0.1,150,0.000495988499435563,0.5313007831573486,0.03444864405745666,4,0.9312015503875969,0.07244554669248779,1.845309858486541e-05,0.6907997894910642,leaf,0.5317495042515297,batchnorm
0.03,71,768,3,45,gelu,halve,0.1,150,0.0005600402597273727,0.5578542947769165,0.10950887875342472,6,0.7906976744186046,0.03160119892089644,1.9819411686399256e-05,0.690431667867475,leaf,0.5022692578937379,batchnorm
0.03,75,256,2,48,gelu,halve,0.0,80,0.000917243278361195,0.48346784710884094,0.12611448637532915,7,0.8062015503875969,0.03089542865043808,6.916471569700283e-06,0.7004085873567941,leaf,0.5278451359768888,batchnorm
0.03,76,768,3,39,relu,halve,0.1,150,0.0004881483512398149,0.6487785577774048,0.05955535342780607,7,0.8614341085271318,0.06055702250770981,8.60021999031384e-07,0.5158230002105839,eom,0.5753314798224812,batchnorm
0.07,78,512,3,46,relu,halve,0.3,100,0.0005998513261975529,0.5876300930976868,0.2405231286717515,2,0.9098837209302325,0.0876092776420303,1.6897931235383998e-06,0.6214150000152845,leaf,0.6248085730970726,none
0.03,81,768,3,49,relu,halve,0.3,150,0.0006476383140138185,0.4349282681941986,0.018373150679913002,11,0.7034883720930233,0.03154355983079485,4.2796657797777875e-06,0.5050584131523133,leaf,0.5217042428252503,batchnorm
0.03,82,768,3,44,relu,halve,0.3,150,0.0005214569345440935,0.40485429763793945,0.018813853505156058,8,0.7771317829457365,0.031016735118421013,1.3040095980337866e-05,0.532914905906478,leaf,0.48679258842072565,batchnorm
0.03,83,768,3,43,relu,halve,0.3,150,0.00032046367830771213,0.5921434760093689,0.179051535385417,6,0.8333333333333334,0.06239667022278065,1.2340077011288157e-05,0.5224719237884154,leaf,0.4576932057204837,batchnorm
0.03,84,768,3,48,relu,halve,0.3,150,0.0005070121990383282,0.49430885910987854,0.02213427348940872,10,0.7364341085271318,0.03341299194122922,4.507884784856753e-06,0.6011544257677622,leaf,0.48812422072505346,batchnorm
0.03,86,768,3,55,relu,constant,0.3,150,0.0005134714208599769,0.40184634923934937,0.022720999737284375,11,0.812015503875969,0.036766853100111914,2.221037281688075e-05,0.5405547035152363,leaf,0.44475756599571087,batchnorm
0.03,89,768,3,56,relu,constant,0.3,150,0.0004379900246490004,0.39608192443847656,0.010238081293391037,14,0.8071705426356589,0.037392947634728994,4.3149225482874495e-05,0.5116131849917339,leaf,0.36726939258159685,batchnorm
0.03,90,768,3,59,relu,constant,0.3,150,0.0007076278595358692,0.47703176736831665,0.027603595733507416,13,0.7906976744186046,0.03212805920422805,3.753122175379617e-05,0.5032889571420838,leaf,0.38432961152744205,batchnorm
0.03,91,768,3,60,relu,constant,0.3,150,0.0006048338081802203,0.5637803673744202,0.020600601379065404,12,0.7877906976744186,0.03773161054610181,4.1263564253504266e-05,0.5110546039024934,leaf,0.33464774344988296,batchnorm
0.03,92,768,3,63,relu,constant,0.3,150,0.0006033159874399217,0.491078644990921,0.03031644595037145,10,0.8875968992248062,0.05271918484814555,5.2895461872075383e-05,0.5724126113545112,leaf,0.29790523417926823,batchnorm
0.03,93,768,3,56,relu,constant,0.3,150,0.0004410688775601383,0.4865206480026245,0.025182296310903768,13,0.7257751937984496,0.035230912348033924,3.0429278979778823e-05,0.5336264366839252,leaf,0.3215798822182817,batchnorm
0.03,97,768,3,53,relu,constant,0.3,150,0.0006946038117123541,0.4454554319381714,0.023126130555314064,9,0.8304263565891473,0.052499231719315774,1.2543116202691434e-05,0.6388161765511441,leaf,0.4216873134220371,batchnorm
0.03,99,768,3,51,relu,constant,0.3,150,0.0005216131471674738,0.5116655230522156,0.17517107790216468,5,0.9418604651162791,0.10785372955926957,9.41341353925659e-06,0.6212090506964831,leaf,0.34181303582283196,batchnorm
0.03,100,768,3,50,relu,constant,0.3,150,0.0007591923124622064,0.4707805812358856,0.14662707743986167,4,0.9137596899224806,0.07543173171788323,4.987042356998133e-06,0.5664214253372324,leaf,0.49919190394949176,batchnorm
0.03,101,768,3,57,relu,constant,0.3,150,0.0006732293667134732,0.5124489665031433,0.06089925886717446,7,0.8236434108527132,0.05406806147026706,1.2641133789834723e-05,0.6399768823710904,leaf,0.42511581860017905,batchnorm
0.03,103,768,3,54,relu,constant,0.3,150,0.000604165463274813,0.4767434000968933,0.06492774428713156,7,0.7810077519379846,0.04653435945773648,1.281063137770731e-05,0.5917532505797614,leaf,0.3701996044496659,batchnorm
0.03,104,768,3,49,relu,constant,0.3,150,0.0008687627889384016,0.5136182904243469,0.021057071867479484,10,0.8333333333333334,0.027786162196286594,8.300717596737395e-05,0.5002555960538064,leaf,0.5176397911639493,batchnorm
