"","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Denitrobacterium","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Enterobacter","Enterococcus","Enterorhabdus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Flavonifractor","Fusobacterium","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Murdochiella","Mycoplasma","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Pantoea","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Selenomonas","Shewanella","Slackia","Sneathia","Solobacterium","Sphingomonas","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tindallia","Tissierella","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Veillonella","Victivallis","Weissella","Zimmermannella"
"rgn.7.8",0,0,0,1,0,0,0,13,7,38,1,0,1,0,0,36,0,5,6,16,0,35,1,0,5,0,14,1,15,24,0,2,0,14,0,79,2,10,16,0,0,28,194,1,2,0,0,2,13,29,0,10,0,1,0,0,108,0,33,217,0,131,0,0,0,0,9,0,0,6,3,3,0,0,0,0,2,12,0,0,2,0,1,0,0,0,0,36,0,0,0,22,28,0,0,47,0,21,0,0,4,0,11,0,0,0,0,0,0,1,1,139,0,108,40,1609,1,0,0,0,1,0,0,0,139,11,60,8,0,0,0,1,0,3,0,0,0,0,0,18,1,75,5,0,77,0,0,1,335,0,2,43,0,0,1
"rgn.8.1",26,0,0,2,0,0,8,5,20,1,0,0,0,2,0,6,0,24,1,0,0,27,0,0,19,9,0,11,8,14,0,38,1,20,5,122,8,7,7,0,0,106,1,0,0,0,24,54,0,62,0,0,0,0,0,2,48,1,108,416,0,4,2,0,0,0,37,0,0,12,0,0,0,0,8,0,6,1,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,5,0,0,0,7,1,0,120,0,0,20,0,0,0,0,3,2,2,47,2,1534,0,0,8,4,0,0,0,0,271,0,124,0,0,0,0,0,0,2,0,0,29,0,0,1,2,0,109,0,0,0,0,7,395,0,0,1,2,0,0
"rgn.8.10",1,0,0,19,0,0,0,0,9,115,0,0,0,3,0,8,0,30,0,0,0,43,0,0,6,0,0,1,183,17,0,0,0,19,1,54,3,34,6,0,0,11,120,0,0,0,0,45,3,21,0,0,0,0,0,0,12,0,39,223,0,36,0,0,0,0,12,0,0,23,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,3,27,4,0,81,0,9,0,0,2,0,9,0,1,0,5,0,0,0,5,147,1,1,61,1659,0,0,5,0,0,0,0,0,126,0,32,19,0,0,0,0,0,0,0,0,1,0,0,0,1,280,1,0,93,0,0,1,111,11,3,2,0,0,5
"rgn.8.11",5,0,0,11,0,0,2,0,2,61,0,0,0,1,2,112,14,1,8,0,3,16,0,0,3,2,1,3,693,2,0,19,0,2,0,14,1,8,1,0,0,18,17,0,0,0,4,74,4,7,0,0,0,0,0,0,8,1,113,13,58,11,0,74,0,12,7,0,0,34,1,2,0,0,3,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,49,17,0,11,4,1,0,1,0,1,61,0,0,1,0,0,0,56,13,242,57,55,111,1001,0,0,6,0,0,0,0,0,2,0,8,9,0,0,0,0,379,0,0,0,6,0,0,1,1,14,2,42,126,2,0,0,138,1,9,9,0,0,0
"rgn.8.13",0,0,0,0,0,0,0,0,27,63,1,0,1,1,0,38,0,548,0,11,0,18,1,1,7,0,4,2,229,6,1,20,6,1,2,110,1,15,12,0,0,4,24,1,0,0,30,78,5,12,0,0,0,0,0,0,202,0,35,177,0,27,0,1,1,2,18,0,0,1,1,9,0,0,17,3,3,0,0,0,1,0,0,0,0,0,0,5,0,0,0,40,39,8,0,87,0,15,0,0,10,3,21,0,0,0,0,0,0,0,13,166,17,0,145,1034,0,0,0,0,0,0,0,0,63,1,25,45,0,0,0,1,0,6,0,0,1,0,0,122,0,43,6,0,6,0,0,0,275,0,5,11,0,0,1
"rgn.8.14",6,0,0,1,0,0,3,0,5,114,0,0,0,3,0,35,0,105,19,7,11,44,0,0,3,4,6,0,81,0,0,31,2,2,1,54,14,7,3,9,0,37,33,0,0,0,0,102,3,27,0,0,1,1,0,0,55,0,43,92,0,59,0,53,0,0,6,0,1,77,10,5,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,10,4,188,12,0,0,26,1,5,0,93,0,0,4,0,0,0,50,38,467,117,3,127,988,1,0,0,3,0,0,0,0,19,0,56,0,0,0,0,0,0,0,0,0,12,0,0,7,1,0,1,0,233,0,0,0,303,1,40,0,2,0,0
"rgn.8.17",3,0,0,2,0,0,1,0,21,0,0,0,0,22,0,0,0,107,0,2,1,264,0,0,22,0,12,5,2,0,0,10,1,77,14,233,5,41,16,0,1,179,0,0,0,0,0,105,0,104,1,0,0,0,0,0,29,1,18,290,0,7,2,1,1,1,81,0,0,1,4,0,0,0,18,0,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,2,2,0,0,0,0,0,2,0,0,0,1353,0,0,10,2,0,0,0,0,300,0,118,0,0,0,0,0,0,0,0,0,3,0,0,12,1,163,0,0,0,0,0,0,284,3,0,1,0,0,0
"rgn.8.18",3,0,2,0,0,0,8,0,1,4,0,0,10,7,0,5,0,247,1,0,3,203,0,0,12,1,1,19,0,0,2,130,7,68,8,230,3,24,13,3,0,145,2,1,3,1,1,2,0,45,3,14,0,0,0,0,131,3,19,605,0,1,0,60,2,0,105,0,0,1,12,2,0,0,2,0,0,7,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,25,1,0,12,0,2,2,13,0,7,1,40,0,496,0,0,0,0,0,0,0,1,128,0,362,0,0,0,0,0,10,0,0,0,37,1,0,17,17,0,7,0,0,0,0,27,586,0,0,3,0,0,0
"rgn.8.19",0,0,0,2,0,0,0,0,1,131,0,0,0,0,0,0,3,162,1,0,1,0,0,0,15,0,0,0,0,3,0,4,1,1,3,84,0,4,2,0,0,29,126,1,0,0,3,192,11,1,0,0,0,0,0,0,52,0,10,16,56,56,1,487,4,8,4,0,0,96,28,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,9,0,1,0,6,0,2,0,0,0,0,1,0,113,15,275,104,0,436,733,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,15,0,0,0,1,0,0,47,0,9,8,0,383,1,0,0,188,1,4,0,0,0,0
"rgn.8.2",3,0,0,3,0,0,3,0,0,18,0,0,0,0,0,22,4,3,22,0,0,17,0,0,0,1,3,2,205,0,0,11,0,1,0,28,1,10,2,1,0,11,6,3,0,0,0,100,0,11,0,0,0,1,0,0,11,0,64,45,14,15,1,5,0,0,21,0,0,77,3,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,17,13,2,7,1,0,0,0,0,0,59,0,2,0,0,0,0,1,15,222,2,0,215,1820,0,0,1,1,0,7,0,0,32,0,40,51,0,0,0,1,2,1,0,0,6,0,0,5,0,4,3,0,342,0,0,0,301,0,7,5,1,0,0
"rgn.8.5",2,0,0,1,0,0,2,0,3,0,0,0,0,13,0,4,0,72,0,1,1,174,0,0,8,0,13,4,0,0,0,9,0,33,6,165,9,41,3,0,0,84,0,0,0,0,0,72,0,45,0,0,0,1,0,0,42,0,13,356,0,2,1,0,0,0,73,0,0,2,2,1,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,2,0,0,0,0,0,1,0,0,0,1968,0,0,5,0,0,0,0,0,216,0,90,0,0,0,0,0,0,0,0,0,3,0,0,7,1,114,0,0,0,0,0,3,304,0,0,0,0,0,0
"rgn.8.6",0,0,0,27,0,0,2,0,1,22,0,0,0,0,0,87,2,144,7,1,4,14,0,0,0,2,2,1,107,1,0,1,3,3,0,22,2,1,5,0,0,7,7,0,0,0,2,158,0,13,0,0,0,0,0,0,3,0,58,12,8,22,0,60,0,0,11,0,0,90,47,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,47,17,44,19,6,0,0,1,3,0,34,0,0,0,0,0,0,40,6,167,30,1,112,1600,0,0,2,0,0,6,0,0,8,0,21,3,0,0,0,0,247,6,0,0,2,0,0,2,0,0,0,0,296,0,0,0,304,0,9,0,0,0,0
